bn_name,bn_id,loc_name,creator_type,title,date,year_n,place,publisher,names_n,names,bn_pos,record_id,lccnID
Amelia Blandford Edwards,Q878,"Edwards, Amelia B.",author,Debenham's vow,1879,1879,New York,George Munro publisher,1,"Edwards, Amelia B.",1,Q878_008,ca 07004618
Amelia Blandford Edwards,Q878,"Edwards, Amelia B.",author,Lord Brackenbury. A novel,1880,1880,New York,Harper & brothers,1,"Edwards, Amelia B.",1,Q878_013,ca 07004287
Amelia Blandford Edwards,Q878,"Edwards, Amelia B.",author,A midsummer ramble in the Dolomites,1889,1889,London,"G. Routledge and sons, limited pref.",1,"Edwards, Amelia B.",1,Q878_015,04018455
Amelia Blandford Edwards,Q878,"Edwards, Amelia B.",author,"Pharaohs, fellahs and explorers",1891,1891,New York,Harper & brothers,1,"Edwards, Amelia B.",1,Q878_023,04014827
Amelia Blandford Edwards,Q878,"Edwards, Amelia B.",author,Egypt of the past,1893,1893,London,"Harrison and sons, printers",2,"Wilson, Erasmus || Edwards, Amelia B.",2,Q878_040,42047933
Amelia Blandford Edwards,Q878,"Edwards, Amelia B.",translator,Manual of Egyptian archaeology and guide to the study of antiquities in Egypt. For the use of students and travellers,1902,1902,London,H. Grevel and co.,2,"Maspero, G. || Edwards, Amelia B.",2,Q878_038,03018305
Harriet Wragg Elgee,Q3960,"Elgee, Harriet Wragg",author,The archaeology of Yorkshire,1933,1933,London,Methuen & co. ltd.,2,"Elgee, Harriet W. || Elgee, Harriet Wragg",2,Q3960_001,33011248
Katherine Ada Esdaile,Q177,"Esdaile, Katharine Ada McDowall",author,Walpole and Chatham (1714-1760),1925,1925,London,G. Bell,1,"Esdaile, Katharine Ada McDowall",1,Q177_008,25021439
Katherine Ada Esdaile,Q177,"Esdaile, Katharine Ada McDowall",author,English monumental sculpture since the renaissance,1927,1927,London,Society for promoting Christian knowledge,1,"Esdaile, Katharine Ada McDowall",1,Q177_004,28012208
Katherine Ada Esdaile,Q177,"Esdaile, Katharine Ada McDowall",author,The life and works of Louis François Roubiliac,1928,1928,London,Oxford University Press,1,"Esdaile, Katharine Ada McDowall",1,Q177_005,30008769
Katherine Ada Esdaile,Q177,"Esdaile, Katharine Ada McDowall",author,Bucks Shell guide,1936?,1936,London,"B. T. Batsford, limited",2,"Nash, John || Esdaile, Katharine Ada McDowall",2,Q177_011,37023221
Katherine Ada Esdaile,Q177,"Esdaile, Katharine Ada McDowall",author,"St. Martin in the Fields, new and old",1944,1944,London,Society for Promoting Christian Knowledge,1,"Esdaile, Katharine Ada McDowall",1,Q177_007,44014251
Katherine Ada Esdaile,Q177,"Esdaile, Katharine Ada McDowall",author,"English church monuments, 1510 to 1840",1946,1946,"London and Malvern Wells, Worcestershire",B. T. Batsford,3,"Esdaile, Katharine Ada McDowall || Crossley, Frederick Herbert || Sitwell, Sacheverell",1,Q177_002,47002817
Katherine Ada Esdaile,Q177,"Esdaile, Katherine Ada",author,"Roubiliac's work at Trinity college, Cambridge",1924,1924,Cambridge,University press,1,"Esdaile, Katherine Ada",1,Q177_009,26009669
Joan Evans,Q275,"Evans, Joan",author,English jewellery from the fifth century A.D. to 1800,1921,1921,London,Methuen & co. ltd.,1,"Evans, Joan",1,Q275_061,22002231
Joan Evans,Q275,"Evans, Joan",author,The palace of Minos; a comparative account of the successive stages of the early Cretan civilization as illustrated by the discoveries at Knossos,1921-35,1921,London,"Macmillan and Co., limited",2,"Evans, Arthur || Evans, Joan",2,Q275_050,22006622
Joan Evans,Q275,"Evans, Joan",author,"Magical jewels of the middle ages and the renaissance, particularly in England",1922,1922,Oxford,The Clarendon press,1,"Evans, Joan",1,Q275_076,23006879
Joan Evans,Q275,"Evans, Joan",editor,Anglo-Norman lapidaries,1924,1924,Paris,É. Champion,4,"Studer, Paul || Marbode || Philippe de Thaon || Evans, Joan",4,Q275_120,25015295
Joan Evans,Q275,"Evans, Joan",author,Life in mediaeval France,1925,1925,London,"Oxford University Press, H. Milford",1,"Evans, Joan",1,Q275_071,25022127
Joan Evans,Q275,"Evans, Joan",editor,Saint Joan of Orleans; scenes from the fifteenth century Mystère du siège d'Orleans,1926,1926,Oxford,Clarendon Press,2,"Evans, Joan || Studer, Paul",1,Q275_007,27015248
Joan Evans,Q275,"Evans, Joan",translator,"The unconquered knight; a chronicle of the deeds of Don Pero Niño, count of Buelna, by his standard-bearer Gutierre Diaz de Gamez (1431-1449) translated and selected from El vitorial by Joan Evans",1928,1928,London,"G. Routledge & sons, ltd.",2,"Díaz de Gámez, Gutierre || Evans, Joan",2,Q275_010,29011740
Joan Evans,Q275,"Evans, Joan",author,La civilisation en France au moyen âge,1930,1930,Paris,Payot,2,"Evans, Joan || Droz, E.",1,Q275_055,32024360
Joan Evans,Q275,"Evans, Joan",author,"Pattern, a study of ornament in western Europe from 1180 to 1900",1931,1931,Oxford,The Clarendon Press,1,"Evans, Joan",1,Q275_084,31013118
Joan Evans,Q275,"Evans, Joan",author,"Monastic life at Cluny, 910-1157",1931,1931,London,H. Milford,1,"Evans, Joan",1,Q275_080,31030913
Joan Evans,Q275,"Evans, Joan",author,English mediaeval lapidaries,1933,1933,London,"Pub. for the Early English Text Society by H. Milford, Oxford University Press",2,"Evans, Joan || Serjeantsen, Mary Sidney",1,Q275_001,33022034
Joan Evans,Q275,"Evans, Joan",author,Nature in design; a study of naturalism in decorative art from the bronze age to the Renaissance,1933,1933,London,"Oxford University Press, H. Milford",1,"Evans, Joan",1,Q275_081,34038355
Joan Evans,Q275,"Evans, Joan",translator,The history of St. Louis,1938,1938,"London, New York etc.",Oxford University Press,3,"Joinville, Jean || Wailly, Natalis de || Evans, Joan",3,Q275_111,38016006
Joan Evans,Q275,"Evans, Joan",author,The romanesque architecture of the order of Cluny,1938,1938,Cambridge Eng.,The University Press,1,"Evans, Joan",1,Q275_088,39014000
Joan Evans,Q275,"Evans, Joan",author,Taste and temperament; a brief study of psychological types in their relation to the visual arts,1939,1939,London,J. Cape,1,"Evans, Joan",1,Q275_091,39021236
Joan Evans,Q275,"Evans, Joan",author,Chateaubriand,1939,1939,London,Macmillan and co.,1,"Evans, Joan",1,Q275_054,39023903
Joan Evans,Q275,"Evans, Joan",author,Time and chance; the story of Arthur Evans and his forbears,1943,1943,London,"Longmans, Green and co.",1,"Evans, Joan",1,Q275_092,a 43003098
Joan Evans,Q275,"Evans, Joan",author,The unselfish egoist; a life of Joseph Joubert,1947,1947,London,"Longmans, Green",1,"Evans, Joan",1,Q275_095,a 48005467
Joan Evans,Q275,"Evans, Joan",author,"Art in the mediaevil France, 987-1498",1948,1948,London,Oxford Univ. Press,1,"Evans, Joan",1,Q275_052,48011637
Joan Evans,Q275,"Evans, Joan",author,Cluniac art of the Romanesque period,1950,1950,Cambridge Eng.,University Press,1,"Evans, Joan",1,Q275_056,51002070
Joan Evans,Q275,"Evans, Joan",author,Style in ornament,1950,1950,London,Oxford University Press,1,"Evans, Joan",1,Q275_089,51010705
Joan Evans,Q275,"Evans, Joan",author,Dress in mediaeval France,1952,1952,Oxford,Clarendon Press,1,"Evans, Joan",1,Q275_058,52003900
Joan Evans,Q275,"Evans, Joan",author,John Ruskin,1954,1954,London,Cape,1,"Evans, Joan",1,Q275_069,55024565
Joan Evans,Q275,"Evans, Joan",author,"The endless web; John Dickinson & Co., ltd., 1804-1954",1955,1955,London,Cape,1,"Evans, Joan",1,Q275_059,56001432
Maria Millington Lathbury Evans,Q624,"Evans, Maria Millington Lathbury",author,Chapters on Greek dress,1893,1893,London and New York,Macmillan and co.,1,"Evans, Maria Millington Lathbury",1,Q624_004,04004629
Maria Millington Lathbury Evans,Q624,"Evans, Maria Millington Lathbury",author,Lustre pottery,1920,1920,London,Methuen & Co. ltd.,1,"Evans, Maria Millington Lathbury",1,Q624_003,21009809
Lucy Winifred Faraday,Q884,"Faraday, L. Winifred",author,The Edda: I. The divine mythology of the North,1902,1902,London,D. Nutt,1,"Faraday, L. Winifred",1,Q884_004,03000391
Lucy Winifred Faraday,Q884,"Faraday, L. Winifred",author,The Edda: II. The heroic mythology of the North,1902,1902,London,D. Nutt,1,"Faraday, L. Winifred",1,Q884_005,03000392
Lucy Winifred Faraday,Q884,"Faraday, L. Winifred",translator,The cattle-raid of Cualnge (Tain bo Cuailgne) an old Irish prose-epic,1904,1904,London,D. Nutt,1,"Faraday, L. Winifred",1,Q884_001,04019435
Lucy Winifred Faraday,Q884,"Faraday, L. Winifred",translator,The wisdom of the Cymry,1939,1939,London,Golden cockerel press,1,"Faraday, L. Winifred",1,Q884_006,40031229
Helen Farquhar,Q885,"Farquhar, Helen",author,"Nicholas Hilliard, ""embosser of medals of gold""",1908,1908,London,Numismatic chronicle,1,"Farquhar, Helen",1,Q885_001,81187902
Helen Farquhar,Q885,"Farquhar, Helen",author,"A note on William Holle, cuneator of the mint",1908,1908,London,Numismatic chronicle,1,"Farquhar, Helen",1,Q885_002,81187903
Susan Maria ffarington,Q2360,"Ffarington, Susan Maria",author,"The Farington papers. The shrievalty of William Ffarington, esq.; A.D. 1636: Documents relating to the civil war: and an Appendix, containing a collection of letters taken from the Ffarington correspondence between the years 1547 and 1688",1856,1856,Manchester,Printed for the Chetham society,1,"Ffarington, Susan Maria",1,Q2360_001,10005670
Katherine Fry,Q890,"Fry, Katherine",editor,Memoir of the life of Elizabeth Fry,1848,1848,London,J. Hatchard and son etc.,3,"Fry, Elizabeth Gurney || Fry, Katherine || Cresswell, Rachel Elizabeth",2,Q890_002,14015665
Katherine Fry,Q890,"Fry, Katherine",author,History of the parishes of East and West Ham,1888,1888,London,Printed by A. Siegle,1,"Fry, Katherine",1,Q890_006,03026239
Dorothy Gardiner,Q901,"Gardiner, Dorothy",author,The story of Lambeth palace,1930,1930,London,"Constable & co., ltd.",1,"Gardiner, Dorothy",1,Q901_005,30030534
Dorothy Gardiner,Q901,"Gardiner, Dorothy",author,West of the river,1941,1941,New York,Thomas Y. Crowll Company,1,"Gardiner, Dorothy",1,Q901_004,41006158
Dorothy Gardiner,Q901,"Gardiner, Dorothy Kempe",author,Canterbury,1923,1923,London,The Macmillan co.,1,"Gardiner, Dorothy Kempe",1,Q901_019,24006466
Dorothy Gardiner,Q901,"Gardiner, Dorothy Kempe",editor,"The Oxinden letters, 1607-1642; being the correspondence of Henry Oxinden of Barham and his circle",1933,1933,London,Constable,2,"Oxinden, Henry || Gardiner, Dorothy Kempe",2,Q901_026,33012515
Dorothy Gardiner,Q901,"Gardiner, Dorothy Kempe",editor,"The Oxinden and Peyton letters, 1642-1670; being the correspondence of Henry Oxinden of Barham, Sir Thomas Peyton of Knowlton and their circle",1937,1937,London,The Macmillan company,3,"Oxinden, Henry || Peyton, Thomas || Gardiner, Dorothy Kempe",3,Q901_025,37025061
Dorothy Gardiner,Q901,"Gardiner, Dorothy Kempe",author,Companion into Dorset,1937,1937,London,Methuen,1,"Gardiner, Dorothy Kempe",1,Q901_020,38014641
Dorothy Gardiner,Q901,"Gardiner, Dorothy Kempe",author,Companion into Kent,1949,1949,London,Methuen,1,"Gardiner, Dorothy Kempe",1,Q901_022,50033143
Dorothy Gardiner,Q901,"Gardiner, Dorothy Kempe",author,Historic haven; the story of Sandwich,1954,1954,Derby Eng.,Pilgrim Press,1,"Gardiner, Dorothy Kempe",1,Q901_021,55020986
Elinor Gardner,Q2694,"Gardner, Elinor Wight",author,The desert Fayum,1934,1934,London,The Royal anthropological institute of Great Britain and Ireland,2,"Caton-Thompson, Gertrude || Gardner, Elinor Wight",2,Q2694_001,35009281
Rhoda Garrett,Q2123,"Garrett, Rhoda",author,"Suggestions for house decoration in painting, wood-work and furniture",1877,1877,London,Macmillan and co.,2,"Garrett, Rhoda || Garrett, Agnes",1,Q2123_002,12003940
Dorothy Annie Elizabeth Garrod,Q863,"Garrod, D. A. E.",author,The upper palaeolithic age in Britain,1926,1926,Oxford,The Clarendon Press,1,"Garrod, D. A. E.",1,Q863_007,27007012
Dorothy Annie Elizabeth Garrod,Q863,"Garrod, D. A. E.",author,Notes on the chalcolithic and early bronze age pottery of Megiddo,1934,1934,"Chicago, Ill.",The University of Chicago press,3,"Engberg, Robert M. || Shipton, Geoffrey M. || Garrod, D. A. E.",3,Q863_002,a 34000651
Dorothy Annie Elizabeth Garrod,Q863,"Garrod, D. A. E.",author,The stone age of Mount Carmel,1937-39,1937,Oxford,The Clarendon Press,4,"Garrod, D. A. E. || Bate, Dorothea M. A. || McCown, Theodore Doney || Keith, Arthur",1,Q863_008,38018012
Dorothy Annie Elizabeth Garrod,Q863,"Garrod, D. A. E.",author,"Environment, tools & man; an inaugural lecture",1946,1946,Cambridge Eng.,The University Press,1,"Garrod, D. A. E.",1,Q863_003,a 46005948
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",translator,"The Alcestis of Euripides, tr. from the original text by Margaret Dunlop Gibson",1886,1886,London etc.,Williams and Norgate,2,"Euripides || Gibson, Margaret Dunlop",2,Q892_004,17002241
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",editor,"How the codex was found; a narrative of two visits to Sinai, from Mrs. Lewis's journals 1892-1893",1893,1893,Cambridge Mass.,Macmillan and Bowes,2,"Lewis, Agnes Smith || Gibson, Margaret Dunlop",2,Q892_008,13011899
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",editor,"An Arabic version of the Epistles of St. Paul to the Romans, Corinthians, Galatians, with part of the Epistle to the Ephesians",1894,1894,London,C.J. Clay and sons,1,"Gibson, Margaret Dunlop",1,Q892_002,11020004
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",editor,Catalogue of the Arabic mss. in the Convent of S. Catherine on Mount Sinai,1894,1894,London,C.J. Clay and sons,1,"Gibson, Margaret Dunlop",1,Q892_009,11020005
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",editor,Apocrypha sinaitica,1896,1896,London,C.J. Clay and sons,1,"Gibson, Margaret Dunlop",1,Q892_006,11020007
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",author,An Arabic version of the Acts of the apostles and the seven Catholic epistles,1899,1899,London,C.J. Clay and sons,1,"Gibson, Margaret Dunlop",1,Q892_001,11020008
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",editor,Apocrypha arabica,1901,1901,London,C.J. Clay and sons,1,"Gibson, Margaret Dunlop",1,Q892_005,11020009
Margaret Dunlop Gibson,Q892,"Gibson, Margaret Dunlop",editor,Forty-one facsimiles of dated Christian Arabic manuscripts,1907,1907,Cambridge,University press,3,"Lewis, Agnes Smith || Gibson, Margaret Dunlop || Margoliouth, D. S.",2,Q892_007,11020010
Gertrude Mary Godden,Q893,"Godden, G. M.",author,Communist operations in Spain,1937,1937,London,"Burns, Oates & Washbourne",1,"Godden, G. M.",1,Q893_002,84202594
Gertrude Mary Godden,Q893,"Godden, G. M.",author,"Communism in Spain, 1931-1936",1937,1937,New York,American Press,1,"Godden, G. M.",1,Q893_001,84202596
Gertrude Mary Godden,Q893,"Godden, G. M.",author,"New Spain, its people, its ruler",1939,1939,New York,American Press,1,"Godden, G. M.",1,Q893_003,84202599
Gertrude Mary Godden,Q893,"Godden, Gertrude M.",author,"Henry Fielding. A memoir, including newly discovered letters and records, with illustrations from contemporary prints",1910,1910,London,"S. Low, Marston",1,"Godden, Gertrude M.",1,Q893_006,a 10000608
Gertrude Mary Godden,Q893,"Godden, Gertrude M.",author,Mussolini; the birth of the new democracy,1923,1923,London etc.,"Burns, Oates & Washbourne ltd.",1,"Godden, Gertrude M.",1,Q893_008,24008290
Gertrude Mary Godden,Q893,"Godden, Gertrude M.",author,"Russia under the red flag, a record of socialism in our time",1929,1929,London,"Burns, Oates & Washburne",1,"Godden, Gertrude M.",1,Q893_010,31019548
Gertrude Mary Godden,Q893,"Godden, Gertrude M.",author,"Conflict in Spain, 1920-1937; a documented record",1937,1937,London,"Burns, Oates & Washbourne, ltd.",1,"Godden, Gertrude M.",1,Q893_005,38007824
Gertrude Mary Godden,Q893,"Godden, Gertrude M.",author,Communist attack on the people of Great Britain,1938,1938,London,"Burns, Oates & Washbourne ltd.",1,"Godden, Gertrude M.",1,Q893_012,a 40000540
Gertrude Mary Godden,Q893,"Godden, Gertrude M.",author,"Poland, yesterday, to-day, to-morrow",1940,1940,London,"Burns, Oates",1,"Godden, Gertrude M.",1,Q893_009,a 41000898
Gertrude Mary Godden,Q893,"Godden, Gertrude M.",author,Murder of a nation; German destruction of Polish culture,1943,1943,London,"Burns, Oates",1,"Godden, Gertrude M.",1,Q893_007,43005722
Alice Bertha Gomme,Q894,"Gomme, Alice Bertha",author,The Gentleman's magazine library: being a classified collection of the chief contents of the Gentleman's magazine from 1731 to 1868,1883-1905,1883,London,E. Stock,4,"Gomme, George Laurence || Gomme, Alice Bertha || Bickley, A. C. || Milne, Frank Alexander",2,Q894_006,17000437
Alice Bertha Gomme,Q894,"Gomme, Alice Bertha",editor,"The traditional games of England, Scotland, and Ireland, with tunes, singing-rhymes, and methods of playing according to the variants extant and recorded in different parts of the Kingdom",1894-98,1894,London,D. Nutt,1,"Gomme, Alice Bertha",1,Q894_011,01012435
Alice Bertha Gomme,Q894,"Gomme, Alice Bertha",editor,"Children's singing games, with the tunes to which they are sung",1894,1894,London,D. Nutt,1,"Gomme, Alice Bertha",1,Q894_008,07041793
Ada Goodrich-Freer,Q747,"Goodrich-Freer, A.",author,Essays in psychical research,1899,1899,London,G. Redway,1,"Goodrich-Freer, A.",1,Q747_003,27025533
Ada Goodrich-Freer,Q747,"Goodrich-Freer, A.",author,The alleged haunting of B-- House: including a journal kept during the tenancy of Colonel Lemesurier Taylor,1899,1899,London,George Redway,2,"Goodrich-Freer, A. || Bute, John Patrick Crichton-Stuart",1,Q747_001,32035936
Ada Goodrich-Freer,Q747,"Goodrich-Freer, A.",author,Outer isles,1902,1902,Westminster,"A. Constable and co., ltd.",1,"Goodrich-Freer, A.",1,Q747_006,02030489
Ada Goodrich-Freer,Q747,"Goodrich-Freer, A.",author,Inner Jerusalem,1904,1904,New York,Dutton,1,"Goodrich-Freer, A.",1,Q747_005,05004479
Ada Goodrich-Freer,Q747,"Goodrich-Freer, A.",author,In a Syrian saddle,1908,1908,London,Methuen,1,"Goodrich-Freer, A.",1,Q747_004,19009564
Ada Goodrich-Freer,Q747,"Goodrich-Freer, A.",author,"Arabs in tent & town; an intimate account of the family life of the Arabs of Syria, their manner of living in desert & town, their hospitality, customs, & mental attitude, with a description of the animals, birds, flowers & plants of their country",1924,1924,London,"Seeley, Service & co., limited",1,"Goodrich-Freer, A.",1,Q747_002,24031304
Ada Goodrich-Freer,Q747,"Goodrich-Freer, A.",author,"Things seen in Constantinople; a description of this picturesque outpost of the Orient, its history, mosques & the life & ways of its people",1925,1925,New York,E.P. Dutton & company,1,"Goodrich-Freer, A.",1,Q747_008,26026034
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,From the Hebrides to the Himalayas: a sketch of eighteen months' wanderings in western isles and eastern highlands,1876,1876,London,"Sampson Low, Marston, Searle, and Rivington",1,"Gordon Cumming, C. F.",1,Q3270_003,05038877
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,"Fire fountains: the kingdom of Hawaii, its volcanoes, and the history of its missions",1883,1883,Edinburgh,W. Blackwood,1,"Gordon Cumming, C. F.",1,Q3270_002,05013487
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,In the Himalayas and on the Indian plains,1884,1884,London,Chatto and Windus,1,"Gordon Cumming, C. F.",1,Q3270_005,04024799
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,Granite crags,1884,1884,Edinburgh,W. Blackwood and sons,1,"Gordon Cumming, C. F.",1,Q3270_004,rc 01000849
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,Via Cornwall to Egypt,1885,1885,London,Chatto & Windus,1,"Gordon Cumming, C. F.",1,Q3270_009,89173247
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,Wanderings in China,1886,1886,Edinburgh,W. Blackwood and sons,1,"Gordon Cumming, C. F.",1,Q3270_010,04024789
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,Two happy years in Ceylon,1892,1892,Edinburgh,W. Blackwood and sons,1,"Gordon Cumming, C. F.",1,Q3270_008,05009753
Constance Frederica Gordon-Cumming,Q3270,"Gordon Cumming, C. F.",author,Memories,1904,1904,Edinburgh,Blackwood,1,"Gordon Cumming, C. F.",1,Q3270_007,89173237
Constance Frederica Gordon-Cumming,Q3270,"Gordon-Cumming, Constance Frederica",author,At home in Fiji,1882,1882,Edinburgh and London,W. Blackwood and sons,1,"Gordon-Cumming, Constance Frederica",1,Q3270_014,05014493
Constance Frederica Gordon-Cumming,Q3270,"Gordon-Cumming, Constance Frederica",author,A lady's cruise in a French man-of-war,1882,1882,Edinburgh and London,W. Blackwood and sons,1,"Gordon-Cumming, Constance Frederica",1,Q3270_012,42042316
Rose Graham,Q57,"Graham, Rose",author,S. Gilbert of Sempringham and the Gilbertines; a history of the only English monastic order,1901,1901,London,E. Stock,1,"Graham, Rose",1,Q57_006,02009352
Rose Graham,Q57,"Graham, Rose",editor,The Chantry certificates,1919,1919,Oxford,Issued for the Society,2,"Graham, Rose || Craib, Theodore",1,Q57_007,21006977
Rose Graham,Q57,"Graham, Rose",editor,The Chantry certificates for Oxfordshire,1920,1920,London.,A. R. Mowbray & co. ltd.,2,"Graham, Rose || Craib, Theodore",1,Q57_008,21003126
Rose Graham,Q57,"Graham, Rose",author,English ecclesiastical studies; being some essays in research in medieval history,1929,1929,London,Society for promoting Christian knowledge,1,"Graham, Rose",1,Q57_001,29018433
Rose Graham,Q57,"Graham, Rose",editor,"A picture book of the life of Saint Anthony the abbot: reproduced from a manuscript of the year 1426 in the Malta public library at Valletta, with supplementary plates of related subjects",1937,1937,Oxford,"Printed for the Roxburghe club, by J. Johnson at the University press",1,"Graham, Rose",1,Q57_004,41004581
Elizabeth Caroline Hamilton Gray,Q898,"Gray, Elizabeth Caroline Jackson",author,Emperors of Rome from Augustus to Constantine,1850,1850,London,T. Hatchard,1,"Gray, Elizabeth Caroline Jackson",1,Q898_001,05000033
Elizabeth Caroline Hamilton Gray,Q898,"Gray, Elizabeth Caroline Johnstone",author,The history of Etruria,1843-44,1843,London,J. Hatchard and son,1,"Gray, Elizabeth Caroline Johnstone",1,Q898_004,04033948
Elizabeth Caroline Hamilton Gray,Q898,"Gray, Elizabeth Caroline Johnstone",author,History of Rome. For young persons,1847,1847,London,J. Hatchard and son,1,"Gray, Elizabeth Caroline Johnstone",1,Q898_003,05000350
Elizabeth Caroline Hamilton Gray,Q898,"Gray, Elizabeth Caroline Johnstone",author,The empire and the church,1857,1857,Oxford,J. Henry and J. Parker,1,"Gray, Elizabeth Caroline Johnstone",1,Q898_002,05008481
Mary Anne Everett Green,Q2092,"Green, Mary Anne Everett",author,"Lives of the princesses of England, from the Norman conquest",1849-55,1849,London,H. Colburn,1,"Green, Mary Anne Everett",1,Q2092_004,04035463
Mary Anne Everett Green,Q2092,"Green, Mary Anne Everett",editor,"Diary of John Rous, incumbent of Santon Downham, Suffolk, from 1625 to 1642",1856,1856,London,Printed for the Camden Society,2,"Rous, John || Green, Mary Anne Everett",2,Q2092_007,a 17001238
Mary Anne Everett Green,Q2092,"Green, Mary Anne Everett",author,"Calendar of state papers, of the reigns of Edward VI, Mary, Elizabeth and James I. 1547-[1625] preserved in the State paper department of Her Majesty's Public Record Office",1856-72,1856,London,"Longman, Brown, Green, Longmans & Roberts;",2,"Lemon, Robert || Green, Mary Anne Everett",2,Q2092_001,sf 90091961
Mary Anne Everett Green,Q2092,"Green, Mary Anne Everett",editor,"Letters of Queen Henrietta Maria, including her private correspondence with Charles the First",1857 1856,1857,London,R. Bentley,2,"Henrietta Maria || Green, Mary Anne Everett",2,Q2092_006,03029889
Mary Anne Everett Green,Q2092,"Green, Mary Anne Everett Wood",editor,"Letters of royal and illustrious ladies of Great Britain, from the commencement of the twelfth century to the close of the reign of Queen Mary",1846,1846,London,H. Colburn,1,"Green, Mary Anne Everett Wood",1,Q2092_005,04035293
Dorothy Greene,Q1640,"Greene, Dorothy",author,Cultural centers in the other American republics,1946,1946,Washington,U.S. Govt. Print. Off.,2,"Greene, Dorothy || Esman, Sherly Goodman",1,Q1640_001,46026084
Eleanor Grove,Q2419,"Grove, Eleanor",author,An Egyptian princess,1880,1880,New York,W. S. Gottsberger,2,"Ebers, Georg || Grove, Eleanor",2,Q2419_001,04023583
Charlotte Schreiber,Q1376,"Guest, Charlotte",author,"The Mabinogion. From the Llyfr Coch o Hergest, and other ancient Welsh manuscripts",1849,1849,London,Longmans,1,"Guest, Charlotte",1,Q1376_002,01011826
Charlotte Schreiber,Q1376,"Guest, Charlotte",author,Fans and fan leaves,1888-90,1888,London,J. Murray,1,"Guest, Charlotte",1,Q1376_009,18023212
Eliza Gutch,Q906,"Gutch, Eliza",editor,Examples of printed folk-lore concerning Lincolnshire,1908,1908,London,Pub. for the Folk-lore society by D. Nutt,2,"Gutch, Eliza || Peacock, Mabel",1,Q906_001,09014615
Eliza Gutch,Q906,"Gutch, Eliza",editor,Examples of printed folk-lore concerning the East Riding of Yorkshire,1912,1912,London,Pub. for the Folk-lore society by D. Nutt,1,"Gutch, Eliza",1,Q906_002,15003352
Ellen Emma Guthrie,Q907,"Guthrie, E. J.",author,"Old Scottish customs, local and general",1885,1885,London,"Hamilton, Adams & co.; etc., etc.",1,"Guthrie, E. J.",1,Q907_001,03022799
Ellen Emma Guthrie,Q907,"Guthrie, Ellen Emma",author,Tales of the Covenanters,1888,1888,London,"Hamilton, Adams, & Co.; etc., etc.",1,"Guthrie, Ellen Emma",1,Q907_004,41030739
Emily Jane Andrews,Q489,"Harding, Emily J.",translator,Fairy tales of the Slav peasants and herdsmen,1896,1896,London,G. Allen,2,"Chodźko, Alexander || Harding, Emily J.",2,Q489_006,19006121
Florence Elizabeth Harmer,Q1439,"Harmer, Florence E.",editor,Select English historical documents of the ninth and tenth centuries,1914,1914,Cambridge Eng.,University press,1,"Harmer, Florence E.",1,Q1439_003,15013564
Florence Elizabeth Harmer,Q1439,"Harmer, Florence E.",editor,Anglo-Saxon writs,1952,1952,"Manchester, Eng.",Manchester University Press,1,"Harmer, Florence E.",1,Q1439_002,52010196
Florence Elizabeth Harmer,Q1439,"Harmer, Florence Elizabeth",editor,An Anglo-Saxon chronicle from British museum,1926,1926,Manchester,The University press,2,"Classen, E. || Harmer, Florence Elizabeth",2,Q1439_001,26023407
Mary Dormer Harris,Q909,"Harris, Mary Dormer",author,Life in an old English town; a history of Coventry from the earliest times,1898,1898,London,"Sonnenschein & co., limd.",1,"Harris, Mary Dormer",1,Q909_004,03016473
Mary Dormer Harris,Q909,"Harris, Mary Dormer",editor,"The Coventry leet book: or mayor's register, containing the records of the city Court leet or view of frank-pledge, A.D. 1420-1555, with divers other matters",1907-1913,1907,London,"H. Milford, Oxford university press.",1,"Harris, Mary Dormer",1,Q909_001,07029021
Mary Dormer Harris,Q909,"Harris, Mary Dormer",author,The story of Coventry,1911,1911,London,J.M. Dent,1,"Harris, Mary Dormer",1,Q909_005,11028671
Mary Dormer Harris,Q909,"Harris, Mary Dormer",author,Unknown Warwickshire,1924,1924,London,John Lane,1,"Harris, Mary Dormer",1,Q909_003,25006192
Mary Dormer Harris,Q909,"Harris, Mary Dormer",editor,"The register of the Guild of the Holy Trinity, St. Mary, St. John the Baptist and St. Katherine of Coventry",1935-44,1935,London,"Pub. for the Dugdale Society by H. Milford, Oxford University Press",2,"Harris, Mary Dormer || Templeman, Geoffrey",1,Q909_002,37004815
